genre,categorical accuracy,abstract_expressionism,baroque,cubism,fauvism,high_renaissance,iconoclasm,impressionism,old_greek_pottery,realism,rococo,romanticism,surrealism
abstract_expressionism,0.0,0,0.03273809523809524,0.49404761904761907,0,0.044642857142857144,0.06547619047619048,0.25,0,0,0.07738095238095238,0.03571428571428571,0
baroque,0.675,0,0.6770833333333334,0.03229166666666667,0,0.07083333333333333,0.005208333333333333,0.04583333333333333,0,0,0.109375,0.059375,0
cubism,0.72625005,0,0.02391304347826087,0.7239130434782609,0,0.03369565217391304,0.029347826086956522,0.0891304347826087,0,0,0.059782608695652176,0.04021739130434782,0
fauvism,0.0,0,0.06596306068601583,0.2691292875989446,0,0.036939313984168866,0.055408970976253295,0.3087071240105541,0,0,0.17941952506596306,0.08443271767810026,0
high_renaissance,0.7325,0,0.06896551724137931,0.03078817733990148,0,0.7364532019704434,0.007389162561576354,0.06280788177339902,0,0,0.05172413793103448,0.04187192118226601,0
iconoclasm,0.83,0,0.012030075187969926,0.05413533834586466,0,0.01804511278195489,0.8165413533834587,0.06315789473684211,0,0,0.02857142857142857,0.007518796992481203,0
impressionism,0.66125,0,0.03971486761710794,0.0814663951120163,0,0.04786150712830957,0.04786150712830957,0.6720977596741344,0,0,0.062118126272912425,0.048879837067209775,0
old_greek_pottery,0.0,0,0.06571428571428571,0.4057142857142857,0,0.025714285714285714,0.03142857142857143,0.2914285714285714,0,0,0.12,0.06,0
realism,0.013377926,0,0.11036789297658862,0.10702341137123746,0,0.15384615384615385,0.04013377926421405,0.2040133779264214,0,0.013377926421404682,0.19732441471571907,0.17391304347826086,0
rococo,0.62375,0,0.07582938388625593,0.041469194312796206,0,0.10071090047393365,0.02014218009478673,0.07227488151658767,0,0,0.6267772511848341,0.06279620853080568,0
romanticism,0.575,0,0.09496567505720824,0.04576659038901602,0,0.07322654462242563,0.016018306636155607,0.08123569794050343,0,0,0.11212814645308924,0.5766590389016019,0
surrealism,0.0,0,0.0375,0.3125,0,0.058333333333333334,0.03333333333333333,0.2875,0,0,0.17083333333333334,0.1,0
